smiles	fraction_unbound
Cc1cc(COc2ccc(cc2)C(=O)N[C@@H]3CCOC[C@@H]3C(=O)NO)c4ccccc4n1	7.5
CC[C@@H](CO)Nc1cc(C)nc(Oc2c(C)cc(Cl)cc2C)c1C(=O)NC	4.5
CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1	4
OC1=C(CN(Cc2ccccn2)C1=O)C(=O)NCc3ccc(F)cc3	1
C[C@@H](N1CC[C@](C)(C1=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO	3.6
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3	88.1
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c(F)c1	87.6
COc1ccc(NC(=O)c2ccc(cc2)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3	80
COc1ccc(NC(=O)c2ccc(cc2F)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3	63.4
C[C@H](Nc1ncc(Br)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4	1
OC[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4	4.4
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1	6.9
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)N3Cc4cccc(F)c4NC3=O)C(=O)N5CCC(CC5)N6CCCCC6)cc7cn[nH]c17	35
FC(F)(F)Oc1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2	3.2
FC(F)(F)c1ccc(cc1)n2ccc(CN3CCC(CC3)NC(=O)COc4cccc(Cl)c4)c2	1.2
COc1ccc(OC)c(CN(C(=O)C[18F])c2ccccc2Oc3ccccc3)c1	0.7
CN(C)CC(=O)N1CCn2c(c(C3CCCCC3)c4ccc(cc24)C(=O)O)c5ccc(F)cc5C1	2
CN(C)CCN1CCn2c(c3ccccc3C1)c(C4CCCCC4)c5ccc(cc25)C(=O)O	3
CCN(CC)C(=O)c1ccc(cc1)C2=CC3(CCNCC3)Oc4cccc(O)c24	41.9
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)C45CCC(CC(=O)O)(CC4)CC5	1
C(S\C(=N/C1CCCCC1)\NC2CCCCC2)C3=CSC4=NCCN34	29
CC1(C)CN2C(=CSC2=N1)CS\C(=N/C3CCCCC3)\NC4CCCCC4	20
CN1[C@@H](C[C@H](CN2CCCCC2)C1=O)C#Cc3ccccc3	17
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O	47
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O	31
COC[C@H](C1CC1)N2C=C(Cl)N=C(Nc3cc(C#N)c(OC(F)F)nc3C)C2=O	3.5
CC[C@H](C1CC1)N2C=C(N=C(Nc3cc(C)c(OC)nc3C)C2=O)C#N	1.9
C[C@H](C1CC1)N2C=C(Cl)N=C(Nc3cc(C#N)c(OC(F)F)nc3C)C2=O	1.6
COC[C@H](C1CC1)N2C=C(Cl)N=C(Nc3cc(C)c(OC(F)F)nc3C)C2=O	0.8
COC[C@H](C1CC1)N2C=C(Cl)N=C(Nc3cc(C)c(OC)nc3C)C2=O	2.1
COC[C@@H](C1CC1)N2C=C(Cl)N=C(Nc3cc(C)c(OC(F)F)nc3C)C2=O	0.8
Nc1cccc(c1)c2ccc(CN3C=C(C(=O)O)C(=O)c4cccc(F)c34)nc2	4
CN(C)Cc1cccc(c1)c2ccc(CN3C=C(C(=O)O)C(=O)c4cccc(F)c34)cc2	5
CC(C)c1ccc(Cc2cc(ccc2Cl)[C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1	0.3
CCOc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1	3.8
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3	0.18
C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F	0.17
CCC(C)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4	0.18
C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N	24
CN(C)CC(=O)N(C)C1COc2ccccc2c3c(C4CCCCC4)c5ccc(cc5n3C1)C(=O)O	0.5
CN(CCN1CCN(C)CC1)C2COc3ccccc3c4c(C5CCCCC5)c6ccc(cc6n4C2)C(=O)O	1.1
CN(C)CCN(C)C1COc2ccccc2c3c(C4CCCCC4)c5ccc(cc5n3C1)C(=O)O	2.7
FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3	0.47
